path,modified_time
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\NetworkInterfacesView.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\RBCmd.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\BrowsingHistoryView.exe,2022-12-13 01:07:58
C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.22091.10031.0_x64__8wekyb3d8bbwe\Application,2022-11-06 05:44:30
00000009	000a564b272f0000	000a00004bc80000	8664	Microsoft.ZuneVideo	8wekyb3d8bbwe	,
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\shman.exe,2022-12-13 01:07:58
C:\ProgramData\Lenovo\ImController\Plugins\LenovoBatteryGaugePackage\x64\PinVantageToolbarToast.exe,2022-09-22 19:29:32
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\UserAssistView.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\AppCompatCacheParser.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\WinPrefetchView.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\JumpListsView.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\LastActivityView.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\ShellBagsView.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\RecentFilesView.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\OutlookAttachView.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\BrowserDownloadsView.exe,2022-12-13 01:07:58
C:\Users\User\AppData\Local\Temp\tmpehnj8pga\OpenSaveFilesView.exe,2022-12-13 01:07:58
C:\Program Files\Common Files\Microsoft Shared\ClickToRun\Updates\16.0.15831.20190\OfficeClickToRun.exe,2022-12-13 01:07:25
C:\Program Files\Git\mingw64\libexec\git-core\git-remote-https.exe,2022-02-01 06:47:52
C:\Windows\System32\wbem\WMIC.exe,2022-06-19 08:48:22
C:\Program Files (x86)\Teams Installer\Teams.exe,2021-11-23 16:15:02
C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe,2021-04-29 20:30:18
C:\Program Files (x86)\Hnc\Office 2018\HncUtils\Service\HncUpdateTray.exe,2018-04-06 07:58:00
C:\Windows\SysWOW64\runonce.exe,2021-09-16 23:44:06
C:\Windows\SysWOW64\reg.exe,2019-12-07 09:09:57
C:\Program Files\NVIDIA Corporation\NVSMI\nvidia-smi.exe,2020-06-23 18:28:38
C:\Users\User\AppData\Local\Microsoft\Teams\Update.exe,2022-12-13 01:35:15
C:\Program Files (x86)\Hnc\Office 2018\HOffice100\Bin\HNetCom.Agent.exe,2018-04-09 10:41:18
C:\Users\User\AppData\Local\Discord\Update.exe,2021-09-21 09:16:42
C:\Windows\System32\sihclient.exe,2022-11-10 12:40:20
C:\Program Files\Microsoft OneDrive\OneDrive.exe,2022-12-10 13:12:46
C:\Program Files (x86)\ESTsoft\ALCapture\ALCaptureEditor.exe,2022-11-07 08:57:54
C:\Program Files (x86)\INCAInternet\nProtect Online Security\nosstarter.npe,2022-08-02 07:21:59
C:\Program Files\Microsoft Office\root\Office16\msoia.exe,2022-12-13 01:10:32
C:\Program Files (x86)\VP\VPWalletService\VPWalletDaemon.exe,2020-11-03 00:01:21
C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe,2022-12-10 13:12:46
C:\Users\User\Desktop\Me\Code\PY\DF_CAT_Forensic_Tool\output\DF_CAT_Tool (2).exe,2022-12-12 16:32:04
C:\Users\User\AppData\Local\Temp\tmp1en3m7or\AppCompatCacheParser.exe,2022-12-12 16:32:46
C:\Users\User\Desktop\Me\Code\PY\DF_CAT_Forensic_Tool\output\gui_main.exe,2022-12-12 16:32:04
C:\Users\User\AppData\Local\Temp\tmpp_klk9nr\AppCompatCacheParser.exe,2022-12-12 16:20:12
C:\Users\User\AppData\Local\Temp\tmpcmrtam6p\AppCompatCacheParser.exe,2022-12-12 16:18:21
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\USBDeview.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\UserProfilesView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\WebBrowserBookmarksView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\NetworkInterfacesView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\RBCmd.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\BrowsingHistoryView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\shman.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\UserAssistView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\AppCompatCacheParser.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\WinPrefetchView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\JumpListsView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\LastActivityView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\ShellBagsView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\RecentFilesView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\OutlookAttachView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\BrowserDownloadsView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmp7d8vla1y\OpenSaveFilesView.exe,2022-12-12 16:15:02
C:\Users\User\AppData\Local\Temp\tmpe3io0dja\OutlookAttachView.exe,2022-12-12 16:09:11
C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.2180_none_7e328fe47c714aab\TiWorker.exe,2022-09-13 04:31:35
C:\Users\User\AppData\Local\Temp\tmpqg09nk1j\OutlookAttachView.exe,2022-12-12 16:08:20
C:\Users\User\AppData\Local\Temp\tmpihwz4ilj\OutlookAttachView.exe,2022-12-12 16:05:44
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\USBDeview.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\UserProfilesView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\WebBrowserBookmarksView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\NetworkInterfacesView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\RBCmd.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\BrowsingHistoryView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\shman.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\UserAssistView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\AppCompatCacheParser.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\WinPrefetchView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\JumpListsView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\LastActivityView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\ShellBagsView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\RecentFilesView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\OutlookAttachView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\BrowserDownloadsView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmpyk6rft95\OpenSaveFilesView.exe,2022-12-12 16:02:47
C:\Users\User\AppData\Local\Temp\tmplt03131q\NetworkInterfacesView.exe,2022-12-12 15:57:42
C:\Users\User\AppData\Local\Temp\tmpzw8nno7n\OutlookAttachView.exe,2022-12-12 15:56:16
C:\Users\User\AppData\Local\Programs\OP.GG\OP.GG.exe,2022-12-06 19:09:54
C:\Users\User\AppData\Local\Temp\tmpe38f_zyk\OutlookAttachView.exe,2022-12-12 15:55:10
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\USBDeview.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\UserProfilesView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\WebBrowserBookmarksView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\NetworkInterfacesView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\RBCmd.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\BrowsingHistoryView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\shman.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\UserAssistView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\AppCompatCacheParser.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\WinPrefetchView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\JumpListsView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\LastActivityView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\ShellBagsView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\RecentFilesView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\OutlookAttachView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\BrowserDownloadsView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpz9ti2gtt\OpenSaveFilesView.exe,2022-12-12 15:50:14
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\USBDeview.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\UserProfilesView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\WebBrowserBookmarksView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\NetworkInterfacesView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\RBCmd.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\BrowsingHistoryView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\shman.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\UserAssistView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\AppCompatCacheParser.exe,2022-12-12 15:44:54
C:\Program Files (x86)\INCAInternet\nProtect Online Security\npupdatec.exe,2021-10-28 06:37:34
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\WinPrefetchView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\JumpListsView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\LastActivityView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\ShellBagsView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\RecentFilesView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\OutlookAttachView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\BrowserDownloadsView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpc1fvhi7_\OpenSaveFilesView.exe,2022-12-12 15:44:54
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\USBDeview.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\UserProfilesView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\WebBrowserBookmarksView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\NetworkInterfacesView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\RBCmd.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\BrowsingHistoryView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\shman.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\UserAssistView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\AppCompatCacheParser.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\WinPrefetchView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\JumpListsView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\LastActivityView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\ShellBagsView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\RecentFilesView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\OutlookAttachView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\BrowserDownloadsView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Temp\tmpl1pid4up\OpenSaveFilesView.exe,2022-12-12 15:35:22
C:\Users\User\AppData\Local\Programs\Python\Python310\pythonw.exe,2021-10-04 10:12:42
C:\Users\User\Desktop\Me\Code\PY\DF_CAT_Tool.exe,2022-12-12 15:09:04
C:\Users\User\Desktop\DF_CAT_Forensic_Tool\DF_CAT_Tool.exe,2022-12-12 07:08:37
C:\Program Files\Git\mingw64\libexec\git-core\git-upload-pack.exe,2022-02-01 06:47:52
C:\Users\User\AppData\Local\Temp\tmp08kyxb53\WinPrefetchView.exe,2022-12-12 14:47:09
C:\Users\User\AppData\Local\Temp\tmpufvin2f3\WinPrefetchView.exe,2022-12-12 14:38:23
C:\Users\User\AppData\Local\Temp\tmp8ypnqnz3\OpenSaveFilesView.exe,2022-12-12 12:59:27
C:\Users\User\AppData\Local\Temp\tmph92ziqf3\OpenSaveFilesView.exe,2022-12-12 12:57:48
C:\Users\User\Downloads\winprefetchview-x64\WinPrefetchView.exe,2022-12-12 12:27:54
C:\Users\User\AppData\Local\Temp\tmpr0hasmen\OpenSaveFilesView.exe,2022-12-12 11:23:06
C:\Users\User\AppData\Local\Temp\tmpttmbx5ly\OpenSaveFilesView.exe,2022-12-12 11:12:30
C:\Users\User\AppData\Local\Temp\tmp6nsaodgg\OpenSaveFilesView.exe,2022-12-12 10:43:09
C:\Users\User\AppData\Local\Temp\tmpm3lsbeo1\OpenSaveFilesView.exe,2022-12-12 10:42:16
C:\Users\User\AppData\Local\Temp\tmpfrhaskky\OpenSaveFilesView.exe,2022-12-12 10:37:55
C:\Users\User\AppData\Local\Programs\Python\Python310\Scripts\pip3.exe,2022-11-10 11:01:37
C:\Users\User\AppData\Local\Temp\D6ABBF7B-2B68-4259-828C-77FEFFF022E8\dismhost.exe,2021-01-16 01:50:29
C:\Program Files (x86)\DOUZONE\DFAS Pro DEMO\DFASHDDInfo.exe,2017-02-02 08:30:00
C:\Windows\System32\explorer.exe,2022-11-10 12:40:11
C:\Windows\SysWOW64\explorer.exe,2022-11-10 12:40:11
C:\Windows\SysWOW64\werfault.exe,2022-08-30 15:54:14
C:\Program Files (x86)\DOUZONE\DFAS Pro DEMO\dzWirelessTool.exe,2015-04-06 06:09:24
C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.200.1165.0_x86__zpdnekdrzrea0\Application,2022-12-11 07:34:16
00000000	000100c8048d0000	000a00004a610000	014c	SpotifyAB.SpotifyMusic	zpdnekdrzrea0	,
00000000	000100c8048d0000	000a00004a610000	8664	SpotifyAB.SpotifyMusic	zpdnekdrzrea0	,
C:\Windows\System32\driverquery.exe,2019-12-07 09:09:05
C:\Program Files (x86)\DOUZONE\DFAS Pro DEMO\dzcap.exe,2016-05-26 08:12:14
C:\Users\Public\Documents\DOUZONE\DFAS_PRO\uni\unins000.exe,2022-12-11 07:18:56
C:\Program Files (x86)\DOUZONE\DFAS Pro DEMO\DFASAnalyzerPRO.exe,2021-08-23 04:43:00
C:\Users\User\AppData\Local\Temp\is-8H4U2.tmp\[1.2.1.42._x64_001]DFAS_Pro_DEMO_Setup.tmp,2022-12-11 07:18:56
C:\Users\User\AppData\Local\Temp\is-PLPPR.tmp\[1.2.1.42._x64_001]DFAS_Pro_DEMO_Setup.tmp,2022-12-11 07:18:53
C:\Users\User\Desktop\[1.2.1.42._x64_001]DFAS_Pro_DEMO_Setup.exe,2021-09-01 02:24:06
C:\Program Files (x86)\Microsoft\EdgeWebView\Application\108.0.1462.46\msedgewebview2.exe,2022-12-08 12:18:37
C:\Users\User\AppData\Local\Temp\24B65785-9914-4917-9B76-D3D9F2B8BDA5\dismhost.exe,2021-01-16 01:50:29
C:\Users\User\AppData\Local\Microsoft\Teams\current\Teams.exe,2022-12-13 01:35:17
C:\Users\User\AppData\Local\Temp\tmp42rztc5_\USBDeview.exe,2022-12-11 05:27:38
C:\Users\User\AppData\Local\Temp\tmp42rztc5_\RBCmd.exe,2022-12-11 05:27:38
C:\Users\User\AppData\Local\Temp\tmp42rztc5_\BrowsingHistoryView.exe,2022-12-11 05:27:38
C:\Users\User\AppData\Local\Temp\tmp42rztc5_\WinPrefetchView.exe,2022-12-11 05:27:38
C:\Users\User\AppData\Local\Temp\tmp42rztc5_\ShellBagsView.exe,2022-12-11 05:27:38
C:\Users\User\AppData\Local\Temp\tmp42rztc5_\RecentFilesView.exe,2022-12-11 05:27:38
C:\Users\User\AppData\Local\Temp\tmp42rztc5_\OutlookAttachView.exe,2022-12-11 05:27:38
C:\Users\User\AppData\Local\Temp\tmp42rztc5_\BrowserDownloadsView.exe,2022-12-11 05:27:38
C:\Users\User\AppData\Local\Temp\tmp42rztc5_\OpenSaveFilesView.exe,2022-12-11 05:27:38
C:\Users\User\AppData\Local\Temp\tmpc129zigb\WinPrefetchView.exe,2022-12-11 05:24:48
C:\Users\User\Desktop\Tool\IDA_Pro_7.5\ida.exe,2021-04-24 03:05:24
C:\Users\User\AppData\Local\Programs\Microsoft VS Code\tools\inno_updater.exe,2022-12-05 08:07:22
00000000	000f005c0c840000	000a000047ba0000	014c	Microsoft.SkypeApp	kzf8qxf38zg5c	,
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\USBDeview.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\UserProfilesView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\WebBrowserBookmarksView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\NetworkInterfacesView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\RBCmd.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\BrowsingHistoryView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\shman.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\UserAssistView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\AppCompatCacheParser.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\WinPrefetchView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\JumpListsView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\LastActivityView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\ShellBagsView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\RecentFilesView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\OutlookAttachView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\BrowserDownloadsView.exe,2022-12-11 05:16:27
C:\Users\User\AppData\Local\Temp\tmprwnn4_jz\OpenSaveFilesView.exe,2022-12-11 05:16:27
C:\Users\User\Downloads\DF_CAT_Tool.exe,2022-12-11 05:24:22
C:\Users\User\AppData\Local\Temp\is-I981C.tmp\CodeSetup-stable-5235c6bb189b60b01b1f49062f4ffa42384f8c91.tmp,2022-12-11 05:14:43
C:\Users\User\AppData\Local\Temp\vscode-update-user-x64\CodeSetup-stable-5235c6bb189b60b01b1f49062f4ffa42384f8c91.exe,2022-12-11 05:14:41
00000009	0004000f2ef40000	000a00004a610000	8664	Microsoft.MicrosoftSolitaireCollection	8wekyb3d8bbwe	,
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(LenovoCompanionAppAddin).exe,2022-11-29 08:47:52
C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_18.2210.1203.0_x64__8wekyb3d8bbwe\Application,2022-10-26 04:45:24
00000009	001208a204b30000	000a00004a610000	8664	Microsoft.MicrosoftOfficeHub	8wekyb3d8bbwe	,
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\ScheduleEventAction.exe,2022-11-29 08:47:52
C:\Program Files\Microsoft OneDrive\22.238.1114.0002\FileCoAuth.exe,2022-12-10 13:12:45
C:\Program Files (x86)\Tailscale IPN\tailscale-ipn.exe,2022-10-21 19:02:36
C:\Program Files\Google\Chrome\Application\108.0.5359.99\elevation_service.exe,2022-12-07 01:36:53
C:\Program Files\Google\Chrome\Application\108.0.5359.99\Installer\setup.exe,2022-12-09 12:34:03
C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{C5346300-7DF9-49AF-8803-C8172B4CF773}\EDGEMITMP_78CE3.tmp\setup.exe,2022-12-10 13:13:00
C:\Program Files\Microsoft OneDrive\22.238.1114.0002\Microsoft.SharePoint.exe,2022-12-10 13:12:46
C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{C5346300-7DF9-49AF-8803-C8172B4CF773}\MicrosoftEdge_X64_108.0.1462.46.exe,2022-12-10 13:12:49
C:\Program Files\Microsoft OneDrive\22.238.1114.0002\FileSyncConfig.exe,2022-12-10 13:12:45
C:\Users\User\AppData\Local\Discord\app-1.0.9008\Discord.exe,2022-12-10 13:12:47
C:\Program Files\Microsoft OneDrive\22.232.1106.0002\OneDriveUpdaterService.exe,2022-12-08 15:51:37
C:\Windows\system32\ipconfig.exe,2019-12-07 09:09:33
0000000b	006c000005b6002e	000a00004a610000	8664	Microsoft.MicrosoftEdge.Stable	8wekyb3d8bbwe	,
C:\Program Files (x86)\Microsoft\Edge\Application\108.0.1462.46\identity_helper.exe,2022-12-08 12:19:34
C:\Program Files (x86)\Microsoft\Edge\Application\108.0.1462.46\Installer\setup.exe,2022-12-09 12:34:19
C:\Program Files (x86)\Microsoft\Edge\Application\108.0.1462.46\elevation_service.exe,2022-12-08 12:18:38
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(LenovoAuthenticationAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(SmartDisplayAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(SettingsWidgetAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(MultimediaAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(GenericMessagingAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(SmartPrivacyAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(SmartInteractAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(LenovoSystemUpdateAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(LenovoSecurityAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(LenovoServiceBridgeAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(IdeaNotebookAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(DeviceSettingsSystemAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(DeviceSettingsHeartbeatAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(LenovoGamingSystemAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(VantageCoreAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(GenericTelemetryAddin).exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantageService.exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\Lenovo.Vantage.AddinInstaller.exe,2022-11-29 08:47:52
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\Lenovo.VantageService.InstallerHelper.exe,2022-11-29 08:47:52
C:\Users\User\AppData\Local\Discord\app-1.0.9007\Discord.exe,2022-10-23 04:06:32
C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{3DDF05E5-625C-403E-BCC4-E95139F3038E}\EDGEMITMP_82FAC.tmp\setup.exe,2022-12-09 12:34:19
C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{3DDF05E5-625C-403E-BCC4-E95139F3038E}\MicrosoftEdge_X64_108.0.1462.46_108.0.1462.42.exe,2022-12-09 12:34:18
C:\Program Files (x86)\Google\Update\Install\{7584386E-52E4-4727-A2A2-9E9E07266361}\CR_1EDC2.tmp\setup.exe,2022-12-09 12:34:03
C:\Program Files (x86)\Google\Update\Install\{7584386E-52E4-4727-A2A2-9E9E07266361}\108.0.5359.99_chrome_installer.exe,2022-12-09 12:34:00
C:\Bitnami\wampstack-8.0.13-0\serviceinstall.bat,2021-11-25 14:46:34
C:\Program Files\Microsoft OneDrive\22.232.1106.0002\FileCoAuth.exe,2022-12-08 15:51:36
