name,extension,execute_time,created_time,modified_time
C:\Users\User\Desktop\26b4699a7b9eeb16e76305d843d4ab05e94d43f3201436927e13b3ebafa90739.txt.vir,vir,2021-11-09 오후 8:36:14,N / A,N / A
C:\Users\User\Desktop\26b4699a7b9eeb16e76305d843d4ab05e94d43f3201436927e13b3ebafa90739.txt_dump.idb,idb,N / A,N / A,N / A
C:\Users\User\Desktop\2차발표 피드백.m4a,m4a,2022-11-21 오후 7:54:17,N / A,N / A
C:\Users\User\Desktop\2학년_20184563_이승주_컴퓨터네트워크(기말고사).rar,rar,2021-10-10 오후 8:11:24,N / A,N / A
C:\Users\User\Desktop\412874ba744b324fb766a897a9a8b7e7f9e437bcaa00b7abc5e25c124abcc7d3.bin.sample.gz,gz,N / A,N / A,N / A
C:\Users\User\Desktop\6. 프로젝트 결과보고서(전체본)-221221 제출.docx,docx,2022-12-13 오전 11:06:37,2022-12-11 오후 7:37:09,2022-12-11 오후 7:37:11
C:\Users\User\Desktop\6. 프로젝트 결과보고서(전체본)-221221 제출.docx,docx,N / A,N / A,N / A
C:\Users\User\Desktop\74bc952195207c79472c85eae059280307b1b8b6ebf722b49e7d43bf4f316a72.bin.sample,sample,2021-12-22 오후 10:58:26,N / A,N / A
C:\Users\User\Desktop\74bc952195207c79472c85eae059280307b1b8b6ebf722b49e7d43bf4f316a72.bin.sample.gz,gz,N / A,N / A,N / A
C:\Users\User\Desktop\[V1.0]선호도 기반 마이데이터 산업 모델 제시 및 보안 위협 분석_2022_정보보호학회_하계학술대회.hwp,hwp,N / A,N / A,N / A
C:\Users\User\Desktop\[박준형]SCH사이버보안연구센터 18기 연구원 질문지_03_15_화요일.docx,docx,N / A,N / A,N / A
C:\Users\User\Desktop\[병열 참고문헌 추가][산학캡스톤디자인 5조]선호도 기반 마이데이터 산업 모델 제시 및 보안 위협 분석_2022_정보보호학회_하계학술대회.hwp,hwp,N / A,N / A,N / A
C:\Users\User\Desktop\[산학캡스톤디자인 5조]선호도 기반 마이데이터 산업 모델 제시 및 보안 위협 분석_2022_정보보호학회_하계학술대회.hwp,hwp,N / A,N / A,N / A
C:\Users\User\Desktop\[준형 참고문헌 추가][산학캡스톤디자인 5조]선호도 기반 마이데이터 산업 모델 제시 및 보안 위협 분석_2022_정보보호학회_하계학술대회.hwp,hwp,N / A,N / A,N / A
C:\Users\User\Desktop\[지원] SCH사이버보안연구센터 지원서_20223566_신민철.docx,docx,N / A,N / A,N / A
C:\Users\User\Desktop\[지원] SCH사이버보안연구센터 지원서_20223566_신민철.docx,docx,2022-12-14 오전 12:23:12,2022-12-14 오전 12:12:12,2022-12-14 오전 12:12:13
C:\Users\User\Desktop\[지원] SCH사이버보안연구센터 지원서_20223566_신민철.docx,docx,N / A,N / A,N / A
C:\Users\User\Desktop\a2_.exe.txt,txt,N / A,N / A,N / A
C:\Users\User\Desktop\aa.csv,csv,N / A,N / A,N / A
C:\Users\User\Desktop\Artifact_address.txt,txt,2022-11-28 오후 4:58:46,N / A,N / A
C:\Users\User\Desktop\Artifact_address.txt,txt,2022-11-29 오후 4:49:12,2022-11-28 오후 4:58:46,2022-11-28 오후 7:25:22
C:\Users\User\Desktop\as.csv,csv,2022-03-18 오전 2:04:54,N / A,N / A
C:\Users\User\Desktop\asd,,2022-12-12 오후 11:28:41,2022-12-12 오후 10:54:16,2022-12-12 오후 11:28:36
C:\Users\User\Desktop\asd.asm,asm,2021-11-27 오후 9:30:33,N / A,N / A
C:\Users\User\Desktop\asd\테스트파일명.xlsx,xlsx,2022-12-12 오후 11:28:41,2022-12-12 오후 11:28:36,2022-12-12 오후 11:28:37
C:\Users\User\Desktop\Assembly.s,s,2021-11-27 오후 9:14:10,N / A,N / A
C:\Users\User\Desktop\BoB 11기 프로젝트 보고서 양식.zip,zip,N / A,N / A,N / A
C:\Users\User\Desktop\c1607d6f2ba2f9eb5d6f6e5e50bd01e3_t.jpeg,jpeg,N / A,N / A,N / A
C:\Users\User\Desktop\c1607d6f2ba2f9eb5d6f6e5e50bd01e3_t.jpeg,jpeg,2022-03-20 오후 6:42:22,N / A,N / A
C:\Users\User\Desktop\Chat-App-main\chat_server.py,py,N / A,N / A,N / A
C:\Users\User\Desktop\chat_client.py,py,N / A,N / A,N / A
C:\Users\User\Desktop\chat_server.py,py,N / A,N / A,N / A
C:\Users\User\Desktop\client2.py,py,N / A,N / A,N / A
C:\Users\User\Desktop\client4.py,py,N / A,N / A,N / A
C:\Users\User\Desktop\confetti-fun-group-happy-young-600w-495639391.webp,webp,2021-11-26 오후 12:57:27,N / A,N / A
C:\Users\User\Desktop\coverImage.png,png,N / A,N / A,N / A
C:\Users\User\Desktop\coverImage.png,png,N / A,N / A,N / A
C:\Users\User\Desktop\CrackMe.exe,exe,N / A,N / A,N / A
C:\Users\User\Desktop\Crawler.zip,zip,N / A,N / A,N / A
C:\Users\User\Desktop\data.txt,txt,N / A,N / A,N / A
C:\Users\User\Desktop\dataset.zip,zip,N / A,N / A,N / A
C:\Users\User\Desktop\desktop-242f37a_2022.12.12_21.59.25\csv\ART0001_OpenSavePidlMRU.csv,csv,2022-12-12 오후 9:59:48,2022-12-12 오후 9:59:33,2022-12-12 오후 9:59:37
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_00.35.01\csv\ART0030_Web_History.csv,csv,2022-12-13 오전 12:41:32,2022-12-13 오전 12:37:03,2022-12-13 오전 12:37:03
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_00.35.01\csv\ART0060_Bookmarks.csv,csv,2022-12-13 오전 12:41:41,2022-12-13 오전 12:37:06,2022-12-13 오전 12:37:06
C:\Users\User\Desktop\desktop-242f37a_2022.12.13_00.35.01\csv\ART0065_User_Accounts.csv,csv,2022-12-13 오전 12:40:57,2022-12-13 오전 12:37:07,2022-12-13 오전 12:37:07
