name,created_time,modified_time,process_path,records
AUPASD.EXE-FDCFE3BC.pf,2022-12-16 오후 11:02:34,2022-12-17 오후 1:23:05,C:\PROGRAM FILES\AhnLab\V3Lite40\AupASD.exe,"[{'name': 'ASDCLI.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\ASDCli.exe'}, {'name': 'AUPASD.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\AupASD.exe'}, {'name': 'AUTOUP.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\MUpdate2\\Update\\autoup.exe'}]"
AUTOUP.EXE-0DEB8EB5.pf,2022-12-16 오후 7:23:10,2022-12-17 오후 1:22:42,C:\PROGRAM FILES\AhnLab\V3Lite40\MUpdate2\Update\autoup.exe,"[{'name': 'ANALYSISRPT.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\ANALYSISRPT.EXE'}, {'name': 'ARKLICENSE.TXT', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\ARKLICENSE.TXT'}, {'name': 'ARTHOST.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\ArtHost.exe'}, {'name': 'ASDCLI.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\ASDCli.exe'}, {'name': 'ASDCR.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\ASDCr.exe'}, {'name': 'ASDSVC.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\ASDSvc.exe'}, {'name': 'ASDUP.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\ASDUp.exe'}, {'name': 'ASDWD.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\MUpdate2\\ASDTEMP\\asdwd.exe'}, {'name': 'ASDWSC.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\ASDWsc.exe'}, {'name': 'AUPASD.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\AupASD.exe'}, {'name': 'AUTOUP.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\MUpdate2\\Update\\autoup.exe'}, {'name': 'ENLIPLE_BM.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\sb\\ENLIPLE_BM.EXE'}, {'name': 'ENLIPLE_BMSTARTER.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\sb\\ENLIPLE_BMSTARTER.EXE'}, {'name': 'PSCAN.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\PScan.exe'}, {'name': 'SCTX.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\SCTX.exe'}, {'name': 'UNINST.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\Uninst.exe'}, {'name': 'V3L4CFG.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\v3l4cfg.exe'}, {'name': 'V3L4CLI.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\v3l4cli.exe'}, {'name': 'V3L4EXEC.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\v3l4exec.exe'}, {'name': 'V3L4LOGV.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\v3l4logv.exe'}, {'name': 'V3L4MEDIC.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\V3L4MEDIC.EXE'}, {'name': 'V3L4NETDN.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\V3L4NETDN.EXE'}, {'name': 'V3L4SP.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\v3l4sp.exe'}, {'name': 'V3L4UPUI.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\v3l4upui.exe'}, {'name': 'V3LITE4.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\v3lite4.exe'}, {'name': 'V3LITE4EXP.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\V3LITE4EXP.EXE'}, {'name': 'V3MEDIC.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\V3Medic.exe'}, {'name': 'V3TNOTI.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\V3TNoti.exe'}, {'name': 'ZUMSETINST.EXE', 'file_path': 'C:\\PROGRAM FILES\\AhnLab\\V3Lite40\\ZUMSETINST.EXE'}]"
BANDIZIP.EXE-2D520967.pf,2021-10-07 오후 7:23:48,2022-12-15 오후 9:13:22,C:\PROGRAM FILES\Bandizip\Bandizip.exe,"[{'name': '[1.2.1.42._X64_001]DFAS_PRO_DEMO_SETUP 1.ZIP', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\[1.2.1.42._X64_001]DFAS_PRO_DEMO_SETUP 1.ZIP'}, {'name': '[1.2.1.42._X64_001]DFAS_PRO_DEMO_SETUP 1.ZIP:ZONE.IDENTIFIER', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\[1.2.1.42._X64_001]DFAS_PRO_DEMO_SETUP 1.ZIP:ZONE.IDENTIFIER'}, {'name': 'BANDIZIP.EXE', 'file_path': 'C:\\PROGRAM FILES\\Bandizip\\Bandizip.exe'}, {'name': 'BROWSERDOWNLOADSVIEW-X64.ZIP', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\BROWSERDOWNLOADSVIEW-X64.ZIP'}, {'name': 'BROWSERDOWNLOADSVIEW-X64.ZIP:ZONE.IDENTIFIER', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\BROWSERDOWNLOADSVIEW-X64.ZIP:ZONE.IDENTIFIER'}, {'name': 'BROWSERDOWNLOADSVIEW.EXE', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\BROWSERDOWNLOADSVIEW-X64\\BROWSERDOWNLOADSVIEW.EXE'}, {'name': 'BROWSERDOWNLOADSVIEW.EXE:RVCONTEXT', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\BROWSERDOWNLOADSVIEW-X64\\BROWSERDOWNLOADSVIEW.EXE:RVCONTEXT'}, {'name': 'BROWSERDOWNLOADSVIEW.EXE:ZONE.IDENTIFIER', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\BROWSERDOWNLOADSVIEW-X64\\BROWSERDOWNLOADSVIEW.EXE:ZONE.IDENTIFIER'}, {'name': 'CHANGELOG.TXT', 'file_path': 'C:\\USERS\\USER\\DESKTOP\\KAPE\\CHANGELOG.TXT'}, {'name': 'DF_CAT_FORENSIC_TOOL-1.0.4 (1).ZIP', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\DF_CAT_FORENSIC_TOOL-1.0.4 (1).ZIP'}, {'name': 'DF_CAT_FORENSIC_TOOL-1.0.4 (1).ZIP:ZONE.IDENTIFIER', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\DF_CAT_FORENSIC_TOOL-1.0.4 (1).ZIP:ZONE.IDENTIFIER'}, {'name': 'DF_CAT_FORENSIC_TOOL-1.0.4.ZIP', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\DF_CAT_FORENSIC_TOOL-1.0.4.ZIP'}, {'name': 'DF_CAT_FORENSIC_TOOL-1.0.4.ZIP:ZONE.IDENTIFIER', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\DF_CAT_FORENSIC_TOOL-1.0.4.ZIP:ZONE.IDENTIFIER'}, {'name': 'DOCUMENTATIONANDEULA.TXT', 'file_path': 'C:\\USERS\\USER\\DESKTOP\\KAPE\\DOCUMENTATION\\DOCUMENTATIONANDEULA.TXT'}, {'name': 'EXPLORER.EXE', 'file_path': 'C:\\Windows\\explorer.exe'}, {'name': 'GKAPE.EXE', 'file_path': 'C:\\USERS\\USER\\DESKTOP\\KAPE\\GKAPE.EXE'}, {'name': 'HH.EXE', 'file_path': 'C:\\Windows\\hh.exe'}, {'name': 'HWP.EXE', 'file_path': 'C:\\PROGRAM FILES (X86)\\Hnc\\OFFICE 2018\\HOFFICE100\\Bin\\Hwp.exe'}, {'name': 'KAPE.ZIP', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\KAPE.ZIP'}, {'name': 'KAPE.ZIP:ZONE.IDENTIFIER', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\KAPE.ZIP:ZONE.IDENTIFIER'}, {'name': 'POWERSHELL.EXE', 'file_path': 'C:\\Windows\\System32\\WINDOWSPOWERSHELL\\v1.0\\POWERSHELL.EXE'}, {'name': 'POWERSHELL.EXE.MUI', 'file_path': 'C:\\PROGRAM FILES\\WINDOWSAPPS\\MICROSOFT.LANGUAGEEXPERIENCEPACKKO-KR_19041.54.173.0_NEUTRAL__8WEKYB3D8BBWE\\Windows\\System32\\WINDOWSPOWERSHELL\\v1.0\\ko-KR\\POWERSHELL.EXE.MUI'}, {'name': 'POWERSHELL_ISE.EXE', 'file_path': 'C:\\Windows\\WinSxS\\AMD64_MICROSOFT-WINDOWS-GPOWERSHELL-EXE_31BF3856AD364E35_10.0.19041.1_NONE_EE822D264112A470\\POWERSHELL_ISE.EXE'}, {'name': 'README.TXT', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\BROWSERDOWNLOADSVIEW-X64\\README.TXT'}, {'name': 'README.TXT', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\WINPREFETCHVIEW-X64\\README.TXT'}, {'name': 'REGPACKAGE.X86.EXE', 'file_path': 'C:\\PROGRAM FILES\\Bandizip\\data\\REGPACKAGE.X86.EXE'}, {'name': 'UPDATER.EXE', 'file_path': 'C:\\PROGRAM FILES\\Bandizip\\Updater.exe'}, {'name': 'WEB32.EXE', 'file_path': 'C:\\PROGRAM FILES\\Bandizip\\data\\web32.exe'}, {'name': 'WINPREFETCHVIEW-X64.ZIP', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\WINPREFETCHVIEW-X64.ZIP'}, {'name': 'WINPREFETCHVIEW-X64.ZIP:ZONE.IDENTIFIER', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\WINPREFETCHVIEW-X64.ZIP:ZONE.IDENTIFIER'}, {'name': 'WINPREFETCHVIEW.EXE', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\WINPREFETCHVIEW-X64\\WINPREFETCHVIEW.EXE'}, {'name': 'WINPREFETCHVIEW.EXE:RVCONTEXT', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\WINPREFETCHVIEW-X64\\WINPREFETCHVIEW.EXE:RVCONTEXT'}, {'name': 'WINPREFETCHVIEW.EXE:ZONE.IDENTIFIER', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\WINPREFETCHVIEW-X64\\WINPREFETCHVIEW.EXE:ZONE.IDENTIFIER'}, {'name': 'WORDICON.EXE', 'file_path': 'C:\\PROGRAM FILES\\MICROSOFT OFFICE\\root\\vfs\\Windows\\INSTALLER\\{90160000-000F-0000-1000-0000000FF1CE}\\wordicon.exe'}, {'name': '데이터.ZIP', 'file_path': 'C:\\USERS\\USER\\DESKTOP\\데이터.ZIP'}, {'name': '마우스 트레이서 - 최신 버전.ZIP', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\마우스 트레이서 - 최신 버전.ZIP'}, {'name': '마우스 트레이서 - 최신 버전.ZIP:ZONE.IDENTIFIER', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\마우스 트레이서 - 최신 버전.ZIP:ZONE.IDENTIFIER'}]"
BDEUISRV.EXE-D93D113B.pf,2022-12-16 오후 7:11:53,2022-12-16 오후 7:11:53,C:\Windows\System32\BdeUISrv.exe,"[{'name': 'BDEUISRV.EXE', 'file_path': 'C:\\Windows\\System32\\BdeUISrv.exe'}]"
BROWSERDOWNLOADSVIEW.EXE-476362C9.pf,2022-12-08 오후 9:09:47,2022-12-08 오후 9:09:47,C:\USERS\USER\DOWNLOADS\BROWSERDOWNLOADSVIEW-X64\BROWSERDOWNLOADSVIEW.EXE,"[{'name': 'BROWSERDOWNLOADSVIEW.EXE', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\BROWSERDOWNLOADSVIEW-X64\\BROWSERDOWNLOADSVIEW.EXE'}]"
BROWSERDOWNLOADSVIEW.EXE-7CA8E034.pf,2022-12-17 오후 1:32:21,2022-12-17 오후 1:32:21,C:\Users\User\AppData\Local\Temp\TMPKR5E7L6F\BROWSERDOWNLOADSVIEW.EXE,"[{'name': 'BROWSERDOWNLOADSVIEW.EXE', 'file_path': 'C:\\Users\\User\\AppData\\Local\\Temp\\TMPKR5E7L6F\\BROWSERDOWNLOADSVIEW.EXE'}]"
BROWSERDOWNLOADSVIEW.EXE-83482E69.pf,2022-12-16 오후 8:29:55,2022-12-16 오후 8:29:55,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\BROWSERDOWNLOADSVIEW.EXE,"[{'name': 'BROWSERDOWNLOADSVIEW.EXE', 'file_path': 'C:\\USERS\\USER\\APPDATA\\LOCAL\\TEMP\\TMPYZAUMONL\\BROWSERDOWNLOADSVIEW.EXE'}]"
BROWSINGHISTORYVIEW.EXE-106CFD77.pf,2022-12-16 오후 8:31:26,2022-12-16 오후 8:31:26,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\BROWSINGHISTORYVIEW.EXE,"[{'name': 'BROWSINGHISTORYVIEW.EXE', 'file_path': 'C:\\USERS\\USER\\APPDATA\\LOCAL\\TEMP\\TMPYZAUMONL\\BROWSINGHISTORYVIEW.EXE'}]"
BROWSINGHISTORYVIEW.EXE-E60081FD.pf,2022-12-08 오후 9:03:23,2022-12-08 오후 9:03:47,C:\USERS\USER\DOWNLOADS\BROWSINGHISTORYVIEW-X64\BROWSINGHISTORYVIEW.EXE,"[{'name': 'BROWSINGHISTORYVIEW.EXE', 'file_path': 'C:\\USERS\\USER\\DOWNLOADS\\BROWSINGHISTORYVIEW-X64\\BROWSINGHISTORYVIEW.EXE'}]"
CACAT_V1.0.4.EXE-BC503DB7.pf,2022-12-16 오후 8:29:06,2022-12-17 오후 1:31:46,C:\Users\User\Desktop\Me\Code\PY\DF_CAT_FORENSIC_TOOL\CACAT_V1.0.4.EXE,"[{'name': 'BASE_LIBRARY.ZIP', 'file_path': 'C:\\Users\\User\\AppData\\Local\\Temp\\_MEI48242\\BASE_LIBRARY.ZIP'}, {'name': 'BASE_LIBRARY.ZIP', 'file_path': 'C:\\USERS\\USER\\APPDATA\\LOCAL\\TEMP\\_MEI104802\\BASE_LIBRARY.ZIP'}, {'name': 'CACAT_V1.0.4.EXE', 'file_path': 'C:\\Users\\User\\Desktop\\Me\\Code\\PY\\DF_CAT_FORENSIC_TOOL\\CACAT_V1.0.4.EXE'}, {'name': 'CMD.EXE', 'file_path': 'C:\\Windows\\System32\\cmd.exe'}, {'name': 'NAMESPACE_PACKAGES.TXT', 'file_path': 'C:\\Users\\User\\AppData\\Local\\Temp\\_MEI48242\\ZOPE.EVENT-4.5.0.DIST-INFO\\NAMESPACE_PACKAGES.TXT'}, {'name': 'NAMESPACE_PACKAGES.TXT', 'file_path': 'C:\\USERS\\USER\\APPDATA\\LOCAL\\TEMP\\_MEI104802\\ZOPE.EVENT-4.5.0.DIST-INFO\\NAMESPACE_PACKAGES.TXT'}, {'name': 'NAMESPACE_PACKAGES.TXT', 'file_path': 'C:\\USERS\\USER\\APPDATA\\LOCAL\\TEMP\\_MEI104802\\ZOPE.INTERFACE-5.4.0-PY3.10.EGG-INFO\\NAMESPACE_PACKAGES.TXT'}, {'name': 'NAMESPACE_PACKAGES.TXT', 'file_path': 'C:\\Users\\User\\AppData\\Local\\Temp\\_MEI48242\\ZOPE.INTERFACE-5.4.0-PY3.10.EGG-INFO\\NAMESPACE_PACKAGES.TXT'}]"
