name,url,browser,start_time,end_time,size,path
webbrowserbookmarksview.zip,https://www.nirsoft.net/utils/webbrowserbookmarksview.zip,Chrome,2022-11-28 오후 3:48:45,2022-11-28 오후 3:48:47,"234,017",C:\Users\User\Downloads\webbrowserbookmarksview.zip
browsinghistoryview-x64.zip,https://www.nirsoft.net/utils/browsinghistoryview-x64.zip,Chrome,2022-11-28 오후 3:47:48,2022-11-28 오후 3:47:50,"319,871",C:\Users\User\Downloads\browsinghistoryview-x64.zip
networkinterfacesview-x64.zip,https://www.nirsoft.net/utils/networkinterfacesview-x64.zip,Chrome,2022-11-28 오후 3:46:30,2022-11-28 오후 3:46:31,"78,900",C:\Users\User\Downloads\networkinterfacesview-x64.zip
lastactivityview.zip,https://www.nirsoft.net/utils/lastactivityview.zip,Chrome,2022-11-28 오후 3:44:05,2022-11-28 오후 3:44:06,"89,593",C:\Users\User\Downloads\lastactivityview.zip
userprofilesview.zip,https://www.nirsoft.net/utils/userprofilesview.zip,Chrome,2022-11-28 오후 3:15:33,2022-11-28 오후 3:15:35,"41,788",C:\Users\User\Downloads\userprofilesview.zip
RBCmd.zip,https://f001.backblazeb2.com/file/EricZimmermanTools/RBCmd.zip,Chrome,2022-11-28 오후 3:13:14,2022-11-28 오후 3:13:16,"3,369,831",C:\Users\User\Downloads\RBCmd.zip
thumbcache_viewer_cmd.zip,https://github.com/thumbcacheviewer/thumbcacheviewer/releases/download/v1.0.1.8/thumbcache_viewer_cmd.zip,Chrome,2022-11-28 오후 3:11:44,2022-11-28 오후 3:11:44,"10,273",C:\Users\User\Downloads\thumbcache_viewer_cmd.zip
userassistview.zip,https://www.nirsoft.net/utils/userassistview.zip,Chrome,2022-11-28 오후 3:09:05,2022-11-28 오후 3:09:06,"35,140",C:\Users\User\Downloads\userassistview.zip
WxTCmd.zip,https://f001.backblazeb2.com/file/EricZimmermanTools/WxTCmd.zip,Chrome,2022-11-28 오후 3:07:18,2022-11-28 오후 3:07:19,"4,141,090",C:\Users\User\Downloads\WxTCmd.zip
AmcacheParser.zip,https://f001.backblazeb2.com/file/EricZimmermanTools/AmcacheParser.zip,Chrome,2022-11-28 오후 3:07:10,2022-11-28 오후 3:07:12,"4,416,262",C:\Users\User\Downloads\AmcacheParser.zip
AppCompatCacheParser.zip,https://f001.backblazeb2.com/file/EricZimmermanTools/AppCompatCacheParser.zip,Chrome,2022-11-28 오후 3:06:59,2022-11-28 오후 3:07:01,"4,358,362",C:\Users\User\Downloads\AppCompatCacheParser.zip
jumplistsview.zip,https://www.nirsoft.net/utils/jumplistsview.zip,Chrome,2022-11-28 오후 3:05:30,2022-11-28 오후 3:05:32,"71,586",C:\Users\User\Downloads\jumplistsview.zip
shellbagsview.zip,https://www.nirsoft.net/utils/shellbagsview.zip,Chrome,2022-11-28 오후 3:04:59,2022-11-28 오후 3:05:00,"51,398",C:\Users\User\Downloads\shellbagsview.zip
shman-x64.zip,https://www.nirsoft.net/utils/shman-x64.zip,Chrome,2022-11-28 오후 2:49:40,2022-11-28 오후 2:49:42,"53,003",C:\Users\User\Downloads\shman-x64.zip
[제어시스템보안] 과제 설명.pdf,https://medlms.sch.ac.kr/files/1032051/download?download_frd=1&verifier=ZPtzTX5WiCarIKFpyxh4mwSkcQEXbM8GZ7fJAArs,Chrome,2022-11-25 오후 7:59:21,2022-11-25 오후 7:59:21,"759,563",C:\Users\User\Downloads\[제어시스템보안] 과제 설명.pdf
데이터.zip,https://medlms.sch.ac.kr/files/1032047/download?download_frd=1&verifier=822n6oylrO7wA71zns7k9oAENFQPqJnqvlE3Zlm1,Chrome,2022-11-25 오후 7:59:19,2022-11-25 오후 7:59:21,"5,514,565",C:\Users\User\Downloads\데이터.zip
shman-x64.zip,https://www.nirsoft.net/utils/shman-x64.zip,Chrome,2022-11-24 오후 7:33:55,2022-11-24 오후 7:33:56,"53,003",C:\Users\User\Downloads\shman-x64.zip
