name,path,action_time
USERPROFILESVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\USERPROFILESVIEW.EXE,2022-12-16 오후 8:31:32
WEBBROWSERBOOKMARKSVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\WEBBROWSERBOOKMARKSVIEW.EXE,2022-12-16 오후 8:31:31
SEARCHFILTERHOST.EXE,C:\Windows\System32\SEARCHFILTERHOST.EXE,2022-12-16 오후 8:31:30
NETWORKINTERFACESVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\NETWORKINTERFACESVIEW.EXE,2022-12-16 오후 8:31:30
RBCMD.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\RBCMD.EXE,2022-12-16 오후 8:31:28
BROWSINGHISTORYVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\BROWSINGHISTORYVIEW.EXE,2022-12-16 오후 8:31:26
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 8:31:25
SHMAN.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\SHMAN.EXE,2022-12-16 오후 8:31:20
USERASSISTVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\USERASSISTVIEW.EXE,2022-12-16 오후 8:31:14
APPCOMPATCACHEPARSER.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\APPCOMPATCACHEPARSER.EXE,2022-12-16 오후 8:31:11
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 8:30:45
WINPREFETCHVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\WINPREFETCHVIEW.EXE,2022-12-16 오후 8:30:30
WINPREFETCHVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\WINPREFETCHVIEW.EXE,2022-12-16 오후 8:30:29
WINPREFETCHVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\WINPREFETCHVIEW.EXE,2022-12-16 오후 8:30:29
WINPREFETCHVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\WINPREFETCHVIEW.EXE,2022-12-16 오후 8:30:29
WINPREFETCHVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\WINPREFETCHVIEW.EXE,2022-12-16 오후 8:30:29
WINPREFETCHVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\WINPREFETCHVIEW.EXE,2022-12-16 오후 8:30:29
WINPREFETCHVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\WINPREFETCHVIEW.EXE,2022-12-16 오후 8:30:29
WINPREFETCHVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\WINPREFETCHVIEW.EXE,2022-12-16 오후 8:30:28
JUMPLISTSVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\JUMPLISTSVIEW.EXE,2022-12-16 오후 8:30:26
LASTACTIVITYVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\LASTACTIVITYVIEW.EXE,2022-12-16 오후 8:30:15
SHELLBAGSVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\SHELLBAGSVIEW.EXE,2022-12-16 오후 8:30:13
RECENTFILESVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\RECENTFILESVIEW.EXE,2022-12-16 오후 8:30:03
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 8:30:01
OUTLOOKATTACHVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\OUTLOOKATTACHVIEW.EXE,2022-12-16 오후 8:30:00
BROWSERDOWNLOADSVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\BROWSERDOWNLOADSVIEW.EXE,2022-12-16 오후 8:29:55
OPENSAVEFILESVIEW.EXE,C:\USERS\USER\APPDATA\LOCAL\TEMP\TMPYZAUMONL\OPENSAVEFILESVIEW.EXE,2022-12-16 오후 8:29:48
SEARCHFILTERHOST.EXE,C:\Windows\System32\SEARCHFILTERHOST.EXE,2022-12-16 오후 8:29:27
SEARCHPROTOCOLHOST.EXE,C:\Windows\System32\SEARCHPROTOCOLHOST.EXE,2022-12-16 오후 8:29:27
whoami.exe,C:\Windows\System32\whoami.exe,2022-12-16 오후 8:29:26
CACAT_V1.0.4.EXE,C:\Users\User\Desktop\Me\Code\PY\DF_CAT_FORENSIC_TOOL\CACAT_V1.0.4.EXE,2022-12-16 오후 8:29:12
CACAT_V1.0.4.EXE,C:\Users\User\Desktop\Me\Code\PY\DF_CAT_FORENSIC_TOOL\CACAT_V1.0.4.EXE,2022-12-16 오후 8:29:05
CONSENT.EXE,C:\WINDOWS\SYSTEM32\CONSENT.EXE,2022-12-16 오후 8:29:02
rundll32.exe,C:\Windows\System32\rundll32.exe,2022-12-16 오후 8:28:46
dllhost.exe,C:\Windows\System32\dllhost.exe,2022-12-16 오후 8:28:34
GIT-REMOTE-HTTPS.EXE,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\GIT-REMOTE-HTTPS.EXE,2022-12-16 오후 8:28:31
Code.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\Code.exe,2022-12-16 오후 8:28:23
dllhost.exe,C:\Windows\System32\dllhost.exe,2022-12-16 오후 8:28:08
git.exe,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\git.exe,2022-12-16 오후 8:28:06
git.exe,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\git.exe,2022-12-16 오후 8:28:00
git.exe,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\git.exe,2022-12-16 오후 8:27:59
GIT-REMOTE-HTTPS.EXE,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\GIT-REMOTE-HTTPS.EXE,2022-12-16 오후 8:27:58
git.exe,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\git.exe,2022-12-16 오후 8:27:58
git.exe,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\git.exe,2022-12-16 오후 8:27:58
git.exe,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\git.exe,2022-12-16 오후 8:27:48
GIT-REMOTE-HTTPS.EXE,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\GIT-REMOTE-HTTPS.EXE,2022-12-16 오후 8:27:47
GIT-REMOTE-HTTPS.EXE,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\GIT-REMOTE-HTTPS.EXE,2022-12-16 오후 8:27:45
rg.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\RESOURCES\app\NODE_MODULES.ASAR.UNPACKED\@vscode\ripgrep\bin\rg.exe,2022-12-16 오후 8:27:43
reg.exe,C:\Windows\System32\reg.exe,2022-12-16 오후 8:27:39
reg.exe,C:\Windows\System32\reg.exe,2022-12-16 오후 8:27:33
reg.exe,C:\Windows\System32\reg.exe,2022-12-16 오후 8:27:32
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 8:27:32
cmd.exe,C:\Windows\System32\cmd.exe,2022-12-16 오후 8:27:32
reg.exe,C:\Windows\System32\reg.exe,2022-12-16 오후 8:27:31
git.exe,C:\PROGRAM FILES\Git\mingw64\bin\git.exe,2022-12-16 오후 8:27:31
git.exe,C:\PROGRAM FILES\Git\mingw64\bin\git.exe,2022-12-16 오후 8:27:31
git.exe,C:\PROGRAM FILES\Git\mingw64\bin\git.exe,2022-12-16 오후 8:27:31
git.exe,C:\PROGRAM FILES\Git\mingw64\bin\git.exe,2022-12-16 오후 8:27:31
git.exe,C:\PROGRAM FILES\Git\mingw64\bin\git.exe,2022-12-16 오후 8:27:31
reg.exe,C:\Windows\System32\reg.exe,2022-12-16 오후 8:27:31
git.exe,C:\PROGRAM FILES\Git\mingw64\bin\git.exe,2022-12-16 오후 8:27:31
git.exe,C:\PROGRAM FILES\Git\cmd\git.exe,2022-12-16 오후 8:27:31
git.exe,C:\PROGRAM FILES\Git\cmd\git.exe,2022-12-16 오후 8:27:31
git.exe,C:\PROGRAM FILES\Git\cmd\git.exe,2022-12-16 오후 8:27:31
git.exe,C:\PROGRAM FILES\Git\cmd\git.exe,2022-12-16 오후 8:27:31
git.exe,C:\PROGRAM FILES\Git\mingw64\bin\git.exe,2022-12-16 오후 8:27:29
python.exe,C:\Users\User\AppData\Local\Programs\Python\PYTHON310\python.exe,2022-12-16 오후 8:27:29
git.exe,C:\PROGRAM FILES\Git\cmd\git.exe,2022-12-16 오후 8:27:29
reg.exe,C:\Windows\System32\reg.exe,2022-12-16 오후 8:27:29
cmd.exe,C:\Windows\System32\cmd.exe,2022-12-16 오후 8:27:29
Code.exe,C:\Users\User\AppData\Local\Programs\Microsoft VS Code\Code.exe,2022-12-16 오후 8:27:29
Code.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\Code.exe,2022-12-16 오후 8:27:29
git.exe,C:\PROGRAM FILES\Git\cmd\git.exe,2022-12-16 오후 8:27:29
git.exe,C:\PROGRAM FILES\Git\cmd\git.exe,2022-12-16 오후 8:27:29
python.exe,C:\Users\User\AppData\Local\Programs\Python\PYTHON310\python.exe,2022-12-16 오후 8:27:26
SEARCHPROTOCOLHOST.EXE,C:\Windows\System32\SEARCHPROTOCOLHOST.EXE,2022-12-16 오후 8:27:25
IDENTITY_HELPER.EXE,C:\PROGRAM FILES (X86)\MICROSOFT\Edge\APPLICATION\108.0.1462.46\IDENTITY_HELPER.EXE,2022-12-16 오후 8:27:10
rg.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\RESOURCES\app\NODE_MODULES.ASAR.UNPACKED\@vscode\ripgrep\bin\rg.exe,2022-12-16 오후 8:27:09
rg.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\RESOURCES\app\NODE_MODULES.ASAR.UNPACKED\@vscode\ripgrep\bin\rg.exe,2022-12-16 오후 8:27:09
rg.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\RESOURCES\app\NODE_MODULES.ASAR.UNPACKED\@vscode\ripgrep\bin\rg.exe,2022-12-16 오후 8:27:09
rg.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\RESOURCES\app\NODE_MODULES.ASAR.UNPACKED\@vscode\ripgrep\bin\rg.exe,2022-12-16 오후 8:27:09
WMIC.exe,C:\Windows\System32\wbem\WMIC.exe,2022-12-16 오후 8:27:08
WMIC.exe,C:\Windows\System32\wbem\WMIC.exe,2022-12-16 오후 8:27:08
icacls.exe,C:\Windows\System32\icacls.exe,2022-12-16 오후 8:27:08
WMIC.exe,C:\Windows\System32\wbem\WMIC.exe,2022-12-16 오후 8:27:08
WMIC.exe,C:\Windows\System32\wbem\WMIC.exe,2022-12-16 오후 8:27:08
CODESETUP-STABLE-1AD8D514439D5077D2B0B7EE64D2CE82A9308E5A.TMP,C:\USERS\USER\APPDATA\LOCAL\TEMP\IS-2TC2L.TMP\CODESETUP-STABLE-1AD8D514439D5077D2B0B7EE64D2CE82A9308E5A.TMP,2022-12-16 오후 8:27:07
CODESETUP-STABLE-1AD8D514439D5077D2B0B7EE64D2CE82A9308E5A.EXE,C:\Users\User\AppData\Local\Temp\VSCODE-UPDATE-USER-X64\CODESETUP-STABLE-1AD8D514439D5077D2B0B7EE64D2CE82A9308E5A.EXE,2022-12-16 오후 8:27:06
WSL.EXE,C:\WINDOWS\SYSTEM32\WSL.EXE,2022-12-16 오후 8:26:55
cmd.exe,C:\Windows\System32\cmd.exe,2022-12-16 오후 8:26:55
WSL.EXE,C:\WINDOWS\SYSTEM32\WSL.EXE,2022-12-16 오후 8:26:55
cmd.exe,C:\Windows\System32\cmd.exe,2022-12-16 오후 8:26:55
WSL.EXE,C:\WINDOWS\SYSTEM32\WSL.EXE,2022-12-16 오후 8:26:54
cmd.exe,C:\Windows\System32\cmd.exe,2022-12-16 오후 8:26:53
WSL.EXE,C:\WINDOWS\SYSTEM32\WSL.EXE,2022-12-16 오후 8:26:53
cmd.exe,C:\Windows\System32\cmd.exe,2022-12-16 오후 8:26:53
SEARCHFILTERHOST.EXE,C:\Windows\System32\SEARCHFILTERHOST.EXE,2022-12-16 오후 8:26:50
POWERSHELL.EXE,C:\Windows\System32\WINDOWSPOWERSHELL\v1.0\POWERSHELL.EXE,2022-12-16 오후 8:26:46
POWERSHELL.EXE,C:\Windows\System32\WINDOWSPOWERSHELL\v1.0\POWERSHELL.EXE,2022-12-16 오후 8:26:45
POWERSHELL.EXE,C:\Windows\System32\WINDOWSPOWERSHELL\v1.0\POWERSHELL.EXE,2022-12-16 오후 8:26:45
DF_CAT_Forensic_Tool,C:\Users\User\Desktop\Me\Code\PY\DF_CAT_Forensic_Tool,2022-12-16 오후 8:26:43
WSL.EXE,C:\WINDOWS\SYSTEM32\WSL.EXE,2022-12-16 오후 8:26:41
PY,C:\Me\Code\PY,2022-12-16 오후 8:26:41
cmd.exe,C:\Windows\System32\cmd.exe,2022-12-16 오후 8:26:41
WSL.EXE,C:\WINDOWS\SYSTEM32\WSL.EXE,2022-12-16 오후 8:26:40
Code.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\Code.exe,2022-12-16 오후 8:26:34
Code.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\Code.exe,2022-12-16 오후 8:26:24
COMPPKGSRV.EXE,C:\WINDOWS\SYSTEM32\COMPPKGSRV.EXE,2022-12-16 오후 8:26:24
Code.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\Code.exe,2022-12-16 오후 8:26:24
Code.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\Code.exe,2022-12-16 오후 8:26:23
Code.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\Code.exe,2022-12-16 오후 8:26:23
Code.exe,C:\Users\User\AppData\Local\Programs\MICROSOFT VS CODE\Code.exe,2022-12-16 오후 8:26:23
MICROSOFTEDGEUPDATE.EXE,C:\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE,2022-12-16 오후 8:26:00
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 8:25:55
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 8:25:55
SEARCHPROTOCOLHOST.EXE,C:\Windows\System32\SEARCHPROTOCOLHOST.EXE,2022-12-16 오후 8:25:37
SPPSVC.EXE,C:\WINDOWS\SYSTEM32\SPPSVC.EXE,2022-12-16 오후 8:24:50
SEARCHFILTERHOST.EXE,C:\Windows\System32\SEARCHFILTERHOST.EXE,2022-12-16 오후 8:24:46
SEARCHPROTOCOLHOST.EXE,C:\Windows\System32\SEARCHPROTOCOLHOST.EXE,2022-12-16 오후 8:24:46
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 8:24:43
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 8:24:43
POWERPNT.EXE,C:\PROGRAM FILES\MICROSOFT OFFICE\root\Office16\POWERPNT.EXE,2022-12-16 오후 8:24:42
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 8:24:42
SMARTSCREEN.EXE,C:\WINDOWS\SYSTEM32\SMARTSCREEN.EXE,2022-12-16 오후 8:24:42
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 8:21:09
sc.exe,C:\Windows\system32\sc.exe,2022-12-16 오후 8:21:09
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 8:15:38
IDENTITY_HELPER.EXE,C:\PROGRAM FILES (X86)\MICROSOFT\Edge\APPLICATION\108.0.1462.46\IDENTITY_HELPER.EXE,2022-12-16 오후 8:12:10
MOUSOCOREWORKER.EXE,C:\WINDOWS\SYSTEM32\MOUSOCOREWORKER.EXE,2022-12-16 오후 8:08:41
SHELLEXPERIENCEHOST.EXE,C:\Windows\SYSTEMAPPS\SHELLEXPERIENCEHOST_CW5N1H2TXYEWY\SHELLEXPERIENCEHOST.EXE,2022-12-16 오후 8:04:27
LENOVOVANTAGE-(GENERICTELEMETRYADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(GENERICTELEMETRYADDIN).EXE,2022-12-16 오후 8:04:25
LENOVOVANTAGE-(GENERICMESSAGINGADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(GENERICMESSAGINGADDIN).EXE,2022-12-16 오후 8:04:20
SEARCHFILTERHOST.EXE,C:\Windows\System32\SEARCHFILTERHOST.EXE,2022-12-16 오후 8:04:17
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 8:03:55
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 8:03:54
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 8:03:54
LENOVOVANTAGE-(LENOVOGAMINGUSERADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(LENOVOGAMINGUSERADDIN).EXE,2022-12-16 오후 8:03:38
LENOVOVANTAGE-(GENERICTELEMETRYADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(GENERICTELEMETRYADDIN).EXE,2022-12-16 오후 8:03:38
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 8:02:28
SPPSVC.EXE,C:\WINDOWS\SYSTEM32\SPPSVC.EXE,2022-12-16 오후 8:00:59
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 8:00:52
POWERPNT.EXE,C:\PROGRAM FILES\MICROSOFT OFFICE\root\Office16\POWERPNT.EXE,2022-12-16 오후 8:00:51
SMARTSCREEN.EXE,C:\WINDOWS\SYSTEM32\SMARTSCREEN.EXE,2022-12-16 오후 8:00:51
SEARCHFILTERHOST.EXE,C:\Windows\System32\SEARCHFILTERHOST.EXE,2022-12-16 오후 8:00:40
v.0.7 DF-ATT&CK 최종 평가.pptx,C:\Users\User\Desktop\v.0.7 DF-ATT&CK 최종 평가.pptx,2022-12-16 오후 8:00:33
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 7:58:01
AUDIODG.EXE,C:\WINDOWS\SYSTEM32\AUDIODG.EXE,2022-12-16 오후 7:58:00
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 7:57:59
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-16 오후 7:57:58
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-16 오후 7:57:58
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 7:57:43
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 7:57:43
MICROSOFTEDGEUPDATE.EXE,C:\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE,2022-12-16 오후 7:56:00
MICROSOFTEDGEUPDATE.EXE,C:\PROGRAM FILES (X86)\MICROSOFT\EDGEUPDATE\MICROSOFTEDGEUPDATE.EXE,2022-12-16 오후 7:56:00
WorkFoldersShell.dll,C:\Windows\System32\WorkFoldersShell.dll,2022-12-16 오후 7:51:17
rundll32.exe,C:\Windows\system32\rundll32.exe,2022-12-16 오후 7:51:17
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 7:49:55
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 7:49:54
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 7:49:53
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 7:46:33
Teams.exe,C:\Users\User\AppData\Local\MICROSOFT\Teams\current\Teams.exe,2022-12-16 오후 7:42:09
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 7:41:00
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 7:41:00
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-16 오후 7:41:00
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 7:40:59
ngentask.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\ngentask.exe,2022-12-16 오후 7:36:47
ngen.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\ngen.exe,2022-12-16 오후 7:34:47
mscorsvw.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\mscorsvw.exe,2022-12-16 오후 7:33:44
mscorsvw.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\mscorsvw.exe,2022-12-16 오후 7:33:42
v3l4cli.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\v3l4cli.exe,2022-12-16 오후 7:31:59
mscorsvw.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\mscorsvw.exe,2022-12-16 오후 7:31:42
mscorsvw.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\mscorsvw.exe,2022-12-16 오후 7:31:41
mscorsvw.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\mscorsvw.exe,2022-12-16 오후 7:31:40
mscorsvw.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\mscorsvw.exe,2022-12-16 오후 7:31:39
mscorsvw.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\mscorsvw.exe,2022-12-16 오후 7:31:39
mscorsvw.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\mscorsvw.exe,2022-12-16 오후 7:31:39
V3LITE4EXP.EXE,C:\PROGRAM FILES\AhnLab\V3Lite40\V3LITE4EXP.EXE,2022-12-16 오후 7:26:59
SDXHELPER.EXE,C:\PROGRAM FILES\MICROSOFT OFFICE\root\Office16\SDXHELPER.EXE,2022-12-16 오후 7:26:01
WUAPIHOST.EXE,C:\WINDOWS\SYSTEM32\WUAPIHOST.EXE,2022-12-16 오후 7:25:59
TiWorker.exe,C:\Windows\WinSxS\AMD64_MICROSOFT-WINDOWS-SERVICINGSTACK_31BF3856AD364E35_10.0.19041.2300_NONE_7E14EDBC7C88B7D5\TiWorker.exe,2022-12-16 오후 7:25:59
TRUSTEDINSTALLER.EXE,C:\Windows\SERVICING\TRUSTEDINSTALLER.EXE,2022-12-16 오후 7:25:59
sc.exe,C:\Windows\System32\sc.exe,2022-12-16 오후 7:25:59
SPPSVC.EXE,C:\WINDOWS\SYSTEM32\SPPSVC.EXE,2022-12-16 오후 7:25:56
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 7:25:55
devicecensus.exe,C:\Windows\system32\devicecensus.exe,2022-12-16 오후 7:23:17
autoup.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\MUpdate2\Update\autoup.exe,2022-12-16 오후 7:23:07
MUpdate2.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\MUpdate2\MUpdate2.exe,2022-12-16 오후 7:23:00
ASDUp.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\MUpdate2\ASDTEMP\ASDUp.exe,2022-12-16 오후 7:22:59
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 7:21:47
SMARTSCREEN.EXE,C:\WINDOWS\SYSTEM32\SMARTSCREEN.EXE,2022-12-16 오후 7:21:32
DeviceDirectoryClient.dll,C:\Windows\system32\DeviceDirectoryClient.dll,2022-12-16 오후 7:21:32
mscoree.dll,C:\Windows\System32\mscoree.dll,2022-12-16 오후 7:21:19
ngen.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\ngen.exe,2022-12-16 오후 7:21:18
ngentask.exe,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\ngentask.exe,2022-12-16 오후 7:21:18
TASKHOSTW.EXE,C:\WINDOWS\SYSTEM32\TASKHOSTW.EXE,2022-12-16 오후 7:21:18
AppListBackupLauncher.dll,C:\Windows\system32\AppListBackupLauncher.dll,2022-12-16 오후 7:21:18
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 7:21:17
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 7:21:17
DEFRAG.EXE,C:\WINDOWS\SYSTEM32\DEFRAG.EXE,2022-12-16 오후 7:21:17
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-16 오후 7:21:17
TiWorker.exe,C:\Windows\WinSxS\AMD64_MICROSOFT-WINDOWS-SERVICINGSTACK_31BF3856AD364E35_10.0.19041.2300_NONE_7E14EDBC7C88B7D5\TiWorker.exe,2022-12-16 오후 7:21:17
TRUSTEDINSTALLER.EXE,C:\Windows\SERVICING\TRUSTEDINSTALLER.EXE,2022-12-16 오후 7:21:17
MemoryDiagnostic.dll,C:\Windows\System32\MemoryDiagnostic.dll,2022-12-16 오후 7:21:17
BackgroundDownload.exe,C:\Program Files (x86)\Microsoft Visual Studio\Installer.261a0c17e55b4b0e96873e496c0dbb03\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\BackgroundDownload.exe,2022-12-16 오후 7:21:17
MemoryDiagnostic.dll,C:\Windows\System32\MemoryDiagnostic.dll,2022-12-16 오후 7:21:17
cleanmgr.exe,C:\Windows\system32\cleanmgr.exe,2022-12-16 오후 7:21:16
ProvTool.exe,C:\Windows\system32\ProvTool.exe,2022-12-16 오후 7:21:16
NPUPDATEC.EXE,C:\PROGRAM FILES (X86)\INCAINTERNET\NPROTECT ONLINE SECURITY\NPUPDATEC.EXE,2022-12-16 오후 7:19:20
msedge.exe,C:\PROGRAM FILES (X86)\MICROSOFT\Edge\APPLICATION\msedge.exe,2022-12-16 오후 7:17:07
dllhost.exe,C:\Windows\System32\dllhost.exe,2022-12-16 오후 7:16:22
SEARCHAPP.EXE,C:\Windows\SYSTEMAPPS\MICROSOFT.WINDOWS.SEARCH_CW5N1H2TXYEWY\SEARCHAPP.EXE,2022-12-16 오후 7:16:21
LENOVOVANTAGE-(LENOVOAUTHENTICATIONADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(LENOVOAUTHENTICATIONADDIN).EXE,2022-12-16 오후 7:16:21
LENOVOVANTAGE-(SMARTDISPLAYADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(SMARTDISPLAYADDIN).EXE,2022-12-16 오후 7:16:20
