name,modified_time
C:\Users\User\Desktop\tools\networkinterfacesview-x64\NetworkInterfacesView.exe,2022-11-28 오후 7:55:07
C:\Users\User\Desktop\tools\outlookattachview-x64\OutlookAttachView.exe,2022-11-28 오후 8:00:45
C:\Users\User\Desktop\tools\shellbagsview\ShellBagsView.exe,2022-11-28 오후 8:12:11
C:\Users\User\Desktop\tools\thumbcache_viewer_cmd.exe,2022-11-28 오후 5:02:29
C:\Users\User\Desktop\tools\userassistview\UserAssistView.exe,2022-11-28 오후 8:16:17
C:\Users\User\Desktop\tools\userprofilesview\UserProfilesView.exe,2022-11-28 오후 8:25:44
C:\Users\User\Desktop\tools\webbrowserbookmarksview\WebBrowserBookmarksView.exe,2022-11-28 오후 8:30:25
C:\Users\User\Desktop\Tor Browser\Browser\firefox.exe,2022-09-18 오후 8:55:20
C:\Users\User\Desktop\Tor Browser\Start Tor Browser.lnk,2022-09-18 오후 8:55:20
C:\Users\User\Desktop\Visual Studio 2019.lnk,2022-05-27 오후 9:28:06
C:\Users\User\Desktop\Visual Studio Code.lnk,2022-12-16 오후 8:33:49
C:\Users\User\Desktop\winprefetchview-x64\WinPrefetchView.exe,2022-11-17 오후 9:32:37
C:\Users\User\Desktop\Wireshark.lnk,2022-05-21 오후 10:23:29
C:\Users\User\Desktop\마우스 트레이서 - 최신 버전\MouseTracer_1.0.7a_Setup.exe,2022-12-13 오후 10:00:27
C:\Users\User\Desktop\시큐 연초 대회\리버싱문제\디버거문제\deVugger.exe,2022-03-06 오후 6:19:57
C:\Users\User\Downloads\010EditorWin64Installer12.0.1.exe,2022-03-06 오후 8:23:53
C:\Users\User\Downloads\AccessData_FTK_Imager_4.5.0_(x64).exe,2022-03-05 오후 9:18:59
C:\Users\User\Downloads\browserdownloadsview-x64\BrowserDownloadsView.exe,2022-12-08 오후 9:09:37
C:\Users\User\Downloads\browsinghistoryview-x64\BrowsingHistoryView.exe,2022-12-08 오후 9:03:43
C:\Users\User\Downloads\DF_CAT_Tool.exe,2022-12-11 오후 2:24:33
C:\Users\User\Downloads\nos_setup.exe,2021-12-24 오후 2:12:02
C:\Users\User\Downloads\PDFverify.exe,2021-12-24 오후 3:51:10
C:\Users\User\Downloads\SASMSetup3121.exe,2021-11-27 오후 9:29:13
C:\Users\User\Downloads\shman-x64\shman.exe,2022-12-08 오후 9:05:33
C:\Users\User\Downloads\torbrowser-install-win64-11.0.6_en-US.exe,2022-02-14 오후 8:45:13
C:\Users\User\Downloads\viewerSetup.exe,2021-12-24 오후 3:37:49
C:\Users\User\Downloads\Wireshark-win64-3.6.5.exe,2022-05-21 오후 10:24:23
CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc!ubuntu,2022-03-06 오후 4:41:33
CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc!ubuntuonwindows,2022-05-16 오전 3:06:35
Chrome,2022-12-17 오후 1:31:49
com.evernote.Evernote,2022-01-22 오후 10:53:02
com.squirrel.Discord.Discord,2022-11-06 오전 11:23:54
com.squirrel.JandiApp.JandiApp,2022-06-30 오후 11:28:13
desktop.op.gg,2022-06-02 오전 9:51:31
E046963F.LenovoCompanion_k1h2ywk1493x8!App,2022-08-30 오후 9:50:15
E:\SamsungPortableSSD.exe,2022-10-03 오후 3:36:17
Microsoft.549981C3F5F10_8wekyb3d8bbwe!App,2022-11-14 오후 9:35:57
Microsoft.AutoGenerated.{0FDD9C6B-656B-0F1F-AB08-B1CDBB7067B3},2022-02-15 오후 10:41:31
Microsoft.AutoGenerated.{29591C0F-7C09-B655-C0EB-8544FCA7D1DE},2022-11-14 오후 9:36:06
Microsoft.AutoGenerated.{37EBBD00-EA0F-32AD-EBB1-9F1893333BF2},2022-12-07 오후 5:06:51
Microsoft.AutoGenerated.{65E2237A-4DF5-85E9-DA7D-76072F04877F},2022-09-18 오후 8:52:22
Microsoft.AutoGenerated.{70F1BE7E-1FB2-0B6D-446A-DED3313952CE},2021-11-28 오전 6:36:01
Microsoft.AutoGenerated.{DB59D7CA-28F5-B5FA-87C8-B9875B0DEDCF},2022-12-15 오후 9:17:17
Microsoft.AutoGenerated.{DF60CA8F-4884-F0EE-090A-264B39A0FD55},2021-11-27 오후 9:58:01
Microsoft.InternetExplorer.Default,2021-12-23 오후 2:02:16
Microsoft.Office.EXCEL.EXE.15,2022-12-15 오후 9:47:38
Microsoft.Office.OUTLOOK.EXE.15,2022-11-28 오후 8:17:06
Microsoft.Office.POWERPNT.EXE.15,2022-12-17 오전 12:07:23
Microsoft.Office.WINWORD.EXE.15,2022-12-14 오전 12:26:40
Microsoft.VisualStudioCode,2022-12-16 오후 8:33:49
Microsoft.Windows.ControlPanel,2022-12-16 오후 8:43:10
Microsoft.Windows.Explorer,2022-12-16 오후 8:43:10
Microsoft.Windows.Photos_8wekyb3d8bbwe!App,2022-11-17 오후 8:31:53
Microsoft.Windows.SecHealthUI_cw5n1h2txyewy!SecHealthUI,2022-06-14 오후 5:50:40
Microsoft.WindowsCalculator_8wekyb3d8bbwe!App,2022-09-30 오후 8:59:21
Microsoft.WindowsCamera_8wekyb3d8bbwe!App,2021-12-01 오후 12:33:14
microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.mail,2022-03-13 오후 10:40:01
Microsoft.WindowsStore_8wekyb3d8bbwe!App,2022-03-07 오전 2:25:52
Microsoft.XboxGamingOverlay_8wekyb3d8bbwe!App,2022-12-08 오후 1:53:52
Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic,2022-11-21 오후 7:54:33
Microsoft.ZuneVideo_8wekyb3d8bbwe!Microsoft.ZuneVideo,2022-10-21 오후 5:42:19
MSEdge,2022-12-13 오전 10:51:56
notion.id,2022-12-13 오후 10:29:03
VisualStudio.9e423e1d,2022-05-27 오후 9:28:06
VMware.Workstation.vmui,2022-09-30 오후 9:20:37
windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,2022-12-16 오후 6:50:44
zoom.us.Zoom Video Meetings,2021-10-11 오전 11:51:15
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\010 Editor\010 Editor Help File.lnk,2021-11-27 오전 5:17:51
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\010 Editor\010 Editor.lnk,2022-03-06 오후 7:03:02
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\7-Zip\7-Zip File Manager.lnk,2022-05-27 오후 11:12:17
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\AccessData\FTK Imager\FTK Imager.lnk,2022-03-18 오전 1:53:27
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Accessories\Notepad.lnk,2022-12-13 오후 10:01:02
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Accessories\Paint.lnk,2022-05-18 오후 7:38:18
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Accessories\Remote Desktop Connection.lnk,2021-11-07 오후 1:15:59
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Administrative Tools\Computer Management.lnk,2022-09-18 오후 8:52:22
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Administrative Tools\Task Scheduler.lnk,2021-10-17 오전 12:01:59
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Administrative Tools\Windows Defender Firewall with Advanced Security.lnk,2022-05-21 오후 9:38:28
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Blend for Visual Studio 2019.lnk,2021-11-28 오전 5:02:11
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Certpia 전자문서검증\써트피아 전자문서 검증뷰어.lnk,2021-12-24 오후 3:51:37
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Chrome.lnk,2022-12-13 오후 10:34:36
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Excel.lnk,2022-03-07 오전 2:27:22
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Git\Git Bash.lnk,2022-02-15 오후 10:41:31
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Git\Git CMD.lnk,2022-11-14 오후 9:33:43
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\INCAInternet\nProtect Online Security V1.0.lnk,2021-12-24 오후 2:14:46
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Lenovo Migration Assistant\Lenovo Migration Assistant.lnk,2021-10-14 오전 9:24:45
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\MySQL\MySQL Server 8.0\MySQL 8.0 Command Line Client - Unicode.lnk,2021-11-24 오전 12:04:12
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\MySQL\MySQL Server 8.0\MySQL 8.0 Command Line Client.lnk,2021-11-27 오후 9:58:01
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\MySQL\MySQL Workbench 8.0 CE.lnk,2022-10-25 오후 6:01:03
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\OpenStego\Run OpenStego.lnk,2021-11-28 오전 6:36:01
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Outlook.lnk,2022-11-28 오후 8:17:06
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\PowerPoint.lnk,2022-03-07 오전 2:26:48
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\SASM\SASM.lnk,2022-05-27 오후 9:01:26
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Visual Studio 2019.lnk,2022-03-04 오후 10:48:43
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\WAMP packaged by Bitnami\WAMP packaged by Bitnami Manager Tool.lnk,2021-11-26 오전 12:47:27
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Word.lnk,2022-12-14 오전 12:23:52
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\Xshell 7\Xshell.lnk,2022-11-17 오후 7:23:15
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\카카오톡\카카오톡.lnk,2022-12-11 오후 8:14:35
{0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8}\한글 2018.lnk,2022-11-25 오후 8:56:58
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe,2022-12-12 오후 8:40:34
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\eventvwr.exe,2022-04-25 오전 3:12:09
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\fontview.exe,2022-03-28 오후 8:13:47
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\mmc.exe,2022-05-09 오전 1:38:19
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\mspaint.exe,2022-05-18 오후 7:38:18
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\notepad.exe,2022-12-13 오후 10:01:02
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\shutdown.exe,2021-11-30 오전 9:36:09
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\SystemPropertiesAdvanced.exe,2022-12-13 오전 12:29:33
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WF.msc,2022-05-21 오후 9:38:28
{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\WindowsPowerShell\v1.0\powershell.exe,2022-05-27 오후 9:23:19
{6D809377-6AF0-444B-8957-A3773F02200E}\010 Editor\010Editor.exe,2022-05-16 오후 1:30:04
{6D809377-6AF0-444B-8957-A3773F02200E}\7-Zip\7zFM.exe,2022-05-27 오후 11:12:17
{6D809377-6AF0-444B-8957-A3773F02200E}\AccessData\FTK Imager\FTK Imager.exe,2022-05-27 오후 10:43:56
{6D809377-6AF0-444B-8957-A3773F02200E}\Bandizip\Bandizip.exe,2022-12-13 오전 10:48:50
{6D809377-6AF0-444B-8957-A3773F02200E}\Common Files\microsoft shared\ink\TabTip.exe,2022-05-30 오후 9:37:57
{6D809377-6AF0-444B-8957-A3773F02200E}\DB Browser for SQLite\DB Browser for SQLite.exe,2022-04-24 오후 8:38:47
{6D809377-6AF0-444B-8957-A3773F02200E}\HxD\HxD.exe,2022-05-28 오후 8:47:30
{6D809377-6AF0-444B-8957-A3773F02200E}\MySQL\MySQL Workbench 8.0\MySQLWorkbench.exe,2022-10-25 오후 6:01:03
{6D809377-6AF0-444B-8957-A3773F02200E}\obs-studio\bin\64bit\obs64.exe,2022-10-21 오후 5:19:49
{6D809377-6AF0-444B-8957-A3773F02200E}\Sublime Text\sublime_text.exe,2022-05-28 오전 3:34:41
{6D809377-6AF0-444B-8957-A3773F02200E}\Wireshark\Wireshark.exe,2022-05-21 오후 10:36:48
{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\ESTsoft\ALCapture\ALCapture.exe,2022-11-30 오후 6:08:16
{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Event Log Explorer\elex.exe,2022-04-25 오전 3:16:19
{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Hnc\Office 2018\HOffice100\Bin\Hwp.exe,2022-12-14 오전 12:12:26
{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\INCAInternet\nProtect Online Security\nos_launcher.exe,2021-12-24 오후 2:14:46
{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Kakao\KakaoTalk\KakaoTalk.exe,2022-12-11 오후 8:14:35
{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\NetSarang\Xshell 7\Xshell.exe,2022-11-17 오후 7:23:15
{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\SASM\sasm.exe,2022-05-27 오후 9:01:26
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\Chrome.lnk,2022-12-17 오후 1:31:49
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\Evernote.lnk,2022-01-22 오후 10:53:02
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\File Explorer.lnk,2022-12-16 오후 8:28:43
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\HxD.lnk,2022-05-28 오후 8:47:30
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\JANDI.lnk,2022-06-30 오후 11:28:13
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\Microsoft Edge.lnk,2022-12-13 오전 10:51:56
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\Notion.lnk,2022-12-13 오후 10:29:03
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\The Interactive Disassembler.lnk,2022-12-13 오후 10:34:35
{9E3995AB-1F9C-4F13-B827-48B24B6C7174}\TaskBar\알캡처.lnk,2022-11-30 오후 6:08:16
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\Accessories\Internet Explorer.lnk,2021-12-23 오후 2:02:16
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\DBeaver Community\DBeaver.lnk,2022-12-15 오후 9:17:17
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\Discord Inc\Discord.lnk,2022-11-06 오전 11:23:54
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\JetBrains\JetBrains dotPeek 2021.3.3.lnk,2022-03-06 오후 9:26:00
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\Notion.lnk,2022-09-18 오후 6:17:36
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\OP.GG.lnk,2022-06-02 오전 9:51:31
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\System Tools\Command Prompt.lnk,2022-12-12 오후 8:40:34
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\System Tools\Control Panel.lnk,2022-12-16 오후 8:43:10
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\Visual Studio Code\Visual Studio Code.lnk,2022-05-30 오후 9:39:41
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\Windows PowerShell\Windows PowerShell.lnk,2022-05-27 오후 9:23:19
{A77F5D77-2E2B-44C3-A6A2-ABA601054A51}\바탕화면 달력\바탕화면 달력.lnk,2021-11-04 오전 10:05:26
{F38BF404-1D43-42F2-9305-67DE0B28FC23}\regedit.exe,2022-05-02 오전 3:22:57
